Country_Code,Name,Pop_2010
894,Zambia,13850.033
887,Yemen,23606.779
882,Samoa,186.205
876,Wallis and Futuna Islands,13.428
862,Venezuela (Bolivarian Republic of),29028.033
860,Uzbekistan,28606.294
858,Uruguay,3374.415
854,Burkina Faso,15605.217
850,United States Virgin Islands,106.149
840,United States of America,308641.391
834,United Republic of Tanzania,46098.591
833,Isle of Man,80.072
830,Channel Islands,159.581
826,United Kingdom,63306.843
818,Egypt,84107.606
807,TFYR Macedonia,2070.739
804,Ukraine,45792.501
800,Uganda,33915.133
798,Tuvalu,10.531
796,Turks and Caicos Islands,30.994
795,Turkmenistan,5087.21
792,Turkey,72326.914
788,Tunisia,10639.931
784,United Arab Emirates,8270.684
780,Trinidad and Tobago,1328.1
776,Tonga,104.137
772,Tokelau,1.14
768,Togo,6502.952
764,Thailand,67208.808
762,Tajikistan,7641.63
760,Syrian Arab Republic,21018.834
756,Switzerland,7831.971
752,Sweden,9390.168
748,Swaziland,1202.843
740,Suriname,526.103
732,Western Sahara,480.274
729,Sudan,34385.963
728,South Sudan,10067.192
724,Spain,46788.63
716,Zimbabwe,14086.317
710,South Africa,51584.663
706,Somalia,12053.223
705,Slovenia,2045.168
704,Viet Nam,88472.512
703,Slovakia,5404.294
702,Singapore,5074.252
694,Sierra Leone,6458.72
690,Seychelles,91.405
688,Serbia,9029.716
686,Senegal,12916.229
682,Saudi Arabia,27425.676
678,Sao Tome and Principe,174.776
674,San Marino,31.11
670,Saint Vincent and the Grenadines,109.315
666,Saint Pierre and Miquelon,6.274
662,Saint Lucia,172.58
660,Anguilla,13.769
659,Saint Kitts and Nevis,51.445
654,Saint Helena,4.177
646,Rwanda,10246.842
643,Russian Federation,143153.869
642,Romania,20440.347
638,Réunion,830.519
634,Qatar,1779.676
630,Puerto Rico,3716.693
626,Timor-Leste,1109.591
624,Guinea-Bissau,1555.88
620,Portugal,10652.321
616,Poland,38323.402
608,Philippines,93726.624
604,Peru,29373.646
600,Paraguay,6209.877
598,Papua New Guinea,7108.239
591,Panama,3643.222
586,Pakistan,170560.182
585,Palau,20.47
584,Marshall Islands,52.425
583,Micronesia (Fed. States of),103.616
580,Northern Mariana Islands,54.424
578,Norway,4885.878
570,Niue,1.63
566,Nigeria,158578.261
562,Niger,16425.578
558,Nicaragua,5737.723
554,New Zealand,4370.062
548,Vanuatu,236.295
540,New Caledonia,251.037
535,Caribbean Netherlands,20.94
534,Sint Maarten (Dutch part),33.124
533,Aruba,101.669
531,Curaçao,147.608
528,Netherlands,16682.917
524,Nepal,27023.137
520,Nauru,10.025
516,Namibia,2173.17
512,Oman,3041.46
508,Mozambique,24221.405
504,Morocco,32409.639
500,Montserrat,4.944
499,Montenegro,624.285
498,Republic of Moldova,4084.481
496,Mongolia,2712.65
492,Monaco,37.094
484,Mexico,117318.941
480,Mauritius,1247.955
478,Mauritania,3609.543
474,Martinique,394.91
470,Malta,416.11
466,Mali,15075.085
462,Maldives,364.511
458,Malaysia,28112.289
454,Malawi,15167.095
450,Madagascar,21151.64
446,"China, Macao SAR",536.969
442,Luxembourg,507.889
440,Lithuania,3123.803
438,Liechtenstein,36.003
434,Libya,6169.14
430,Liberia,3948.125
428,Latvia,2118.848
426,Lesotho,2040.551
422,Lebanon,4337.141
418,Lao People's Democratic Republic,6246.274
417,Kyrgyzstan,5422.337
414,Kuwait,2998.083
410,Republic of Korea,49552.855
408,Dem. People's Republic of Korea,24591.599
404,Kenya,41350.152
400,Jordan,7182.39
398,Kazakhstan,16398.976
392,Japan,128551.873
388,Jamaica,2817.21
384,Côte d'Ivoire,20401.331
380,Italy,59729.807
376,Israel,7425.959
372,Ireland,4626.928
368,Iraq,30762.701
364,Iran (Islamic Republic of),74567.511
360,Indonesia,242524.123
356,India,1230980.691
352,Iceland,320.328
348,Hungary,9927.84
344,"China, Hong Kong SAR",7025.221
340,Honduras,8194.778
336,Holy See,0.794
332,Haiti,9999.617
328,Guyana,746.556
324,Guinea,10794.17
320,Guatemala,14630.417
316,Guam,159.444
312,Guadeloupe,450.718
308,Grenada,104.677
304,Greenland,56.638
300,Greece,11446.005
296,Kiribati,102.652
292,Gibraltar,33.189
288,Ghana,24512.104
276,Germany,80894.785
275,State of Palestine,4066.829
270,Gambia,1692.149
268,Georgia,4231.661
266,Gabon,1640.21
262,Djibouti,851.146
258,French Polynesia,267.82
254,French Guiana,234.181
250,France,63026.74
246,Finland,5365.782
242,Fiji,859.95
238,Falkland Islands (Malvinas),2.852
234,Faeroe Islands,48.55
233,Estonia,1332.102
232,Eritrea,4390.84
231,Ethiopia,87702.67
226,Equatorial Guinea,951.104
222,El Salvador,6164.626
218,Ecuador,14934.69
214,Dominican Republic,9897.985
212,Dominica,71.44
208,Denmark,5554.844
204,Benin,9199.259
203,Czechia,10536.286
196,Cyprus,1112.607
192,Cuba,11333.051
191,Croatia,4328.153
188,Costa Rica,4545.28
184,Cook Islands,18.545
180,Democratic Republic of the Congo,64523.263
178,Congo,4386.693
175,Mayotte,208.718
174,Comoros,689.692
170,Colombia,45918.097
158,"China, Taiwan Province of China",23102.406
156,China,1359755.102
152,Chile,16993.354
148,Chad,11887.202
144,Sri Lanka,20198.353
140,Central African Republic,4448.525
136,Cayman Islands,55.507
132,Cabo Verde,502.384
124,Canada,34168.668
120,Cameroon,19970.495
116,Cambodia,14308.74
112,Belarus,9473.071
108,Burundi,8766.93
104,Myanmar,50155.896
100,Bulgaria,7404.59
96,Brunei Darussalam,388.662
92,British Virgin Islands,27.224
90,Solomon Islands,527.79
84,Belize,321.608
76,Brazil,196796.269
72,Botswana,2014.866
70,Bosnia and Herzegovina,3722.084
68,Bolivia (Plurinational State of),9918.242
64,Bhutan,727.641
60,Bermuda,63.956
56,Belgium,10938.739
52,Barbados,279.569
51,Armenia,2877.311
50,Bangladesh,152149.102
48,Bahrain,1240.862
44,Bahamas,360.832
40,Austria,8409.949
36,Australia,22120.064
32,Argentina,41223.889
31,Azerbaijan,9032.457
28,Antigua and Barbuda,94.661
24,Angola,23369.131
20,Andorra,84.449
16,American Samoa,55.637
12,Algeria,36117.637
8,Albania,2940.525
4,Afghanistan,28803.167